Cyclic Group,Epoch,Train Accuracy,Train Loss,Test Accuracy,Test Loss
,,,,,
8,-1,0,0,3.038290788,503410.0313
,,,,,
8,0,55.02873563,1310.973755,60.98085461,4779.168457
,,,,,
8,1,62.36194779,1285.119385,68.74653163,3909.747314
,,,,,
8,2,66.65543576,1278.376831,68.486404,3884.196045
,,,,,
8,3,70.87755102,1216.305908,72.55133185,3421.125
,,,,,
8,4,73.93497758,1211.584961,70.91079356,3462.228271
,,,,,
8,5,76.15517241,1200.042236,73.74098224,3091.598145
,,,,,
8,6,78.86276392,1145.137695,74.24389567,3047.261475
,,,,,
8,7,80.3880597,1138.021484,76.1549667,2815.081787
,,,,,
8,8,82.25671141,1085.251343,74.92369589,2886.458008
,,,,,
8,9,83.48684211,1082.280273,76.82436182,2775.499023
,,,,,
8,10,85.02856433,1041.827515,76.33879023,2819.529785
,,,,,
8,11,86.36470588,1006.440063,75.9572697,2850.267578
,,,,,
8,12,86.24329759,1013.572815,78.38512764,2452.075684
,,,,,
8,13,87.79888984,974.4846191,78.71809101,2491.672119
,,,,,
8,14,88.60053235,944.6414185,78.97821865,2493.973633
,,,,,
8,15,88.98505114,938.1883545,81.01068257,2261.88623
,,,,,
8,16,90.75510204,390.1574402,77.8718091,2643.539307
,,,,,
8,17,90.78571429,383.103363,80.1054384,2333.457275
,,,,,
8,18,91.52035116,372.7414856,80.4904273,2307.499023
,,,,,
8,19,91.00312256,388.44104,79.82103219,2361.346436
,,,,,
8,20,91.42475172,378.255188,80.00832408,2422.712158
,,,,,
8,21,91.66666667,365.688385,79.86612098,2390.159912
,,,,,
8,22,92.11200586,365.0380859,80.82685905,2301.919189
,,,,,
8,23,91.93866571,375.2577515,81.58643174,2194.69458
,,,,,
8,24,92.5281294,357.8294373,80.98293563,2292.128418
,,,,,
8,25,92.14655172,369.7575073,80.67425083,2288.241211
,,,,,
8,26,92.6420839,361.9190369,81.72516648,2233.741943
,,,,,
8,27,92.93658699,345.5454407,82.19686459,2151.044189
,,,,,
8,28,92.85365059,364.434967,81.15982242,2282.612549
,,,,,
8,29,93.13819578,342.3268738,80.57366815,2352.270508
,,,,,
8,30,93.15681961,350.3480835,80.30660377,2466.528809
,,,,,
8,31,93.63804818,336.0479431,79.65801887,2523.545654
,,,,,
8,32,93.15421979,366.0205688,81.08351831,2379.102539
,,,,,
8,33,93.51492537,355.2057495,80.45227525,2477.801514
,,,,,
8,34,93.65091016,342.4966736,81.17022752,2334.943115
,,,,,
8,35,94.12911612,338.9468079,81.40954495,2334.846436
,,,,,
8,36,94.07333712,349.6443176,81.89164817,2239.378174
,,,,,
8,37,94.05061521,351.1926575,80.66384573,2431.496826
,,,,,
8,38,93.92896476,349.6222839,81.31936737,2337.619629
,,,,,
8,39,94.11605206,354.7420349,82.63041065,2258.861328
,,,,,
8,40,92.26718976,1178.919678,81.50665927,2292.049805
,,,,,
8,41,92.86334552,1242.815674,82.57144839,2180.371826
,,,,,
8,42,92.9501675,1300.279785,83.1090455,2101.329346
,,,,,
8,43,93.05211878,1369.96936,82.45005549,2157.239502
,,,,,
8,44,93.36171612,1382.305664,83.71947836,2072.630127
,,,,,
8,45,93.64086752,1365.764282,84.27094895,2024.648438
,,,,,
8,46,94.07522066,1352.654297,83.66051609,2116.255371
,,,,,
8,47,94.19564399,1383.275024,83.68479467,2113.157227
,,,,,
8,48,94.60196619,1338.255127,83.85474473,2127.112549
,,,,,
8,49,94.89588114,1315.975952,83.6050222,2225.474609
,,,,,
8,50,95.24667253,1304.380249,83.94839068,2207.398438
,,,,,
8,51,95.5445806,1270.524048,84.04897336,2180.703125
,,,,,
8,52,95.63129003,1259.904541,84.08018868,2233.845703
,,,,,
8,53,95.96014672,1203.261719,83.57380688,2412.981689
,,,,,
8,54,96.1219406,1180.298218,83.2859323,2419.071045
,,,,,
8,55,96.34693492,1141.101074,83.71600999,2419.40918
,,,,,
8,56,96.55578112,1105.61853,83.83740289,2457.587402
,,,,,
8,57,96.61315054,1094.678833,84.46170921,2452.512207
,,,,,
8,58,96.90063509,1032.194824,84.39927858,2463.61792
,,,,,
8,59,97.00418573,1035.412964,83.87902331,2458.387939
8,60,97.06637812474719,1081.51806640625,84.60044395116537,2453.359130859375
,,,,,
8,61,97.29593074993933,1000.528564453125,83.76803551609324,2583.950927734375
,,,,,
8,62,97.40919019496805,956.3394775390625,85.01664816870145,2337.4716796875
,,,,,
8,63,97.54166329584984,897.2167358398438,83.64664261931188,2699.4921875
,,,,,
8,64,97.54874201116415,887.9287109375,83.99001109877914,2608.65478515625
,,,,,
8,65,97.63368659493568,874.735595703125,84.89872364039955,2469.388427734375
,,,,,
1,0,42.8448275862069,1607.33154296875,50.54800221975583,5837.7333984375
1,1,55.72289156626506,1490.3023681640625,61.757769145394,4529.2431640625
1,2,61.52291105121294,1452.5833740234375,60.321864594894556,4652.4130859375
1,3,64.98979591836735,1436.1156005859375,64.42147613762486,4196.1328125
1,4,68.36696562032884,1441.6837158203125,67.46323529411765,3829.690673828125
1,5,71.04310344827586,1410.9222412109375,67.08171476137625,3855.5078125
1,6,72.64075495841331,1425.1961669921875,73.22419533851277,3140.127197265625
1,7,74.82835820895522,1409.80615234375,75.54800221975583,2879.906982421875
1,8,75.90883668903803,1441.0567626953125,73.29356270810212,3133.69287109375
1,9,77.63157894736842,1407.786376953125,76.33879023307436,2827.355712890625
1,10,78.59538002980626,1413.9681396484375,76.42203107658158,2753.362548828125
1,11,79.4235294117647,1437.174560546875,77.01859045504995,2680.5
1,12,80.9707327971403,1407.6121826171875,76.93188124306326,2645.002197265625
1,13,81.00982066609735,1435.788818359375,77.1399833518313,2601.80517578125
1,14,82.03316953316954,1419.0152587890625,78.00360710321864,2576.7421875
1,15,82.9809205350118,1394.4893798828125,79.79675360710323,2351.2900390625
1,16,83.30170777988614,1410.00244140625,78.64872364039955,2430.771728515625
1,17,84.07087770840984,1407.082275390625,80.32394561598224,2365.47314453125
1,18,84.91548042704626,1352.0594482421875,79.48113207547169,2387.31640625
1,19,85.26183892153473,1356.9970703125,80.26151498335183,2215.7861328125
1,20,86.00488544474393,1325.9754638671875,81.0384295227525,2175.44970703125
1,21,86.21015445284259,1313.138916015625,82.42230854605992,2079.066162109375
1,22,86.40153944836435,1336.701171875,82.15871254162043,2091.509765625
