Dataname,Cyclic Group,Epoch,Train Accuracy,Train Loss,Test Accuracy,Test Loss
rotmnist,1,0,67.98333333,233.6563873,80.276,702.8474731
rotmnist,1,1,86.71666667,133.2710419,86.486,520.4182129
rotmnist,1,2,90.23333333,99.30762482,89.156,420.7096863
rotmnist,1,3,91.875,80.79602814,88.35,392.9295044
rotmnist,1,4,93.01666667,67.5881424,88.948,361.0859985
rotmnist,1,5,93.375,59.80378723,88.358,352.3829041
rotmnist,1,6,93.80833333,53.28156662,88.378,333.7015686
rotmnist,1,7,94.14166667,48.52632523,90.854,282.4005127
rotmnist,1,8,94.68333333,44.54377365,91.24,270.2676697
rotmnist,1,9,95.16666667,40.44123077,87.372,329.0534058
rotmnist,1,10,95.075,38.2913475,88.928,301.604248
rotmnist,1,11,95.40833333,36.03462601,87.52,315.4462891
rotmnist,1,12,95.5,34.00397873,91.268,243.1096497
rotmnist,1,13,95.76666667,31.97514343,90.286,255.792511
rotmnist,1,14,95.7,31.45749474,90.394,253.1061707
rotmnist,1,15,95.75833333,29.96144485,90.562,249.8333282
rotmnist,1,16,96.00833333,27.91706276,91.696,220.1984253
rotmnist,1,17,95.98333333,27.58223724,92.204,208.8977661
rotmnist,1,18,96.20833333,26.25457001,91.088,226.7843933
rotmnist,1,19,96.25,25.49428558,91.084,229.8634491
rotmnist,1,20,96.65833333,23.88013458,92.626,193.7587128
rotmnist,1,21,96.61666667,23.33425713,93.384,175.7706451
rotmnist,1,22,96.71666667,22.72021866,92.128,199.5561829
rotmnist,1,23,97.04166667,20.99523544,92.878,185.9865875
rotmnist,1,24,96.675,22.15193939,89.17,260.1615906
rotmnist,1,25,96.70833333,21.58549309,92.43,189.1529694
rotmnist,1,26,96.96666667,20.26207733,92.424,189.236084
rotmnist,1,27,96.925,19.89213371,92.97,177.2248993
rotmnist,1,28,96.90833333,19.83151245,93.696,160.7805634
rotmnist,1,29,97.23333333,18.68117714,92.98,176.0401001
rotmnist,1,30,97.19166667,18.18964005,93.782,158.0674896
rotmnist,1,31,97.39166667,17.79008865,94.174,148.7460785
rotmnist,1,32,97.3,17.57110214,93.306,169.8353577
rotmnist,1,33,97.23333333,17.39087296,93.974,153.2809753
rotmnist,1,34,97.41666667,16.67506218,92.604,187.4051666
rotmnist,1,35,97.23333333,17.18489075,94.186,146.3497467
rotmnist,1,36,97.70833333,16.00476456,93.494,165.1481476
rotmnist,1,37,97.65,15.71212292,93.422,163.0939789
